RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
kanda,KANDA,11,1422,bilang / mengatakan / lapor,Kata Kerja,
apu,APU,11,1423,kapur sirih;,Kata Benda,
entut,ENTUT,11,1424,kentut,Kata Benda,
gandhul,GANDHUL,11,1425,"tergantung (untuk benda yang berat; menggantung, buah pepaya",Kata Keadaan,
bésan,BESAN,11,1426,orang tua dari menantu,,
éndha,ENDHA,11,1427,berkelit,,
bathang,BATHANG,11,1428,bangkai *[[mbathang,Kata Benda,
pethak,PETHAK,11,1429,putih,Kata Sifat,Krama
ider,IDER,11,1430,berjualan berkeliling,Kata Kerja,
arip,ARIP,11,1431,mengantuk; [[karipan,,Krama
winarah,WINARAH,11,1432,terjadi,Kata Kerja,
anèm,ANEM,11,1433,muda,,
landep,LANDEP,11,1434,tajam,,
gegedhug,GEGEDHUG,11,1435,"pimpinan (untuk kelompok penjahat, pembuat onar",Kata Benda,
ugungan,UGUNGAN,11,1436,senang dipuji,Kata Sifat,
ambah,AMBAH,11,1437,"jejak, jelajah, datangi",Kata Kerja,
amit,AMIT,11,1438,permisi,Kata Kerja,
bethèk,BETHEK,11,1439,pintu pagar,,
ancur,ANCUR,11,1440,air raksa,Kata Benda,
dahwèn,DAHWEN,11,1441,suka mencerca,,
acung,ACUNG,11,1442,menunjuk ke atas/unjuk jari,Kata Kerja,
warangan,WARANGAN,11,1443,racun (biasanya dipakai untuk melumuri keris),Kata Benda,
babat,BABAT,11,1444,bagian dalam usus sapi,Kata Benda,
timbel,TIMBEL,11,1445,bisul di mata,Kata Benda,
bangka,BANGKA,11,1446,mati (kasar),Kata Kerja,
belèk,BELEK,11,1447,iris sepanjang garis tengah,,
cubluk,CUBLUK,11,1448,bodoh,Kata Sifat,
mekrok,MEKROK,11,1449,mekar,,
beton,BETON,11,1450,biji nangka,Kata Benda,
damèn,DAMEN,11,1451,"pohon padi, batang padi",,
silit,SILIT,11,1452,dubur,,
jadah,JADAH,11,1453,nama jajanan dari ketan,Kata Benda,
kramat,KRAMAT,11,1454,keramat,,
gamel,GAMEL,11,1455,tukang merawat kuda,Kata Benda,
cawet,CAWET,11,1456,celana dalam,Kata Benda,
inger,INGER,11,1457,geser dengan sedikit mengubah arah,Kata Kerja,
mlintir,MLINTIR,11,1458,memelintir,,
cawang,CAWANG,11,1459,"tanda V, centang",Kata Benda,
undang,UNDANG,11,1460,panggil,Kata Kerja,
nglambrang,NGLAMBRANG,10,1461,"tidak jelas, tidak fokus",,
canthing,CANTHING,10,1462,"alat untuk membatik, untuk menampung lilin sementara sebagai alat batik tulis sebelum di gambarkan ke selembar kain",Kata Benda,
gotong,GOTONG,10,1463,angkat,Kata Kerja,
landhesan,LANDHESAN,10,1464,"alas untuk memotong atau mengiris, ganjal",,
unjuk,UNJUK,10,1465,geser naik,Kata Kerja,
ingkung,INGKUNG,10,1466,ayam panggang utuh,Kata Benda,
gedhèk,GEDHEK,10,1467,dinding dari anyaman bambu,,
celuk,CELUK,10,1468,panggil,Kata Kerja,
