Frequency Rank,Javanese,Indonesian,Part of Speech,IPA,Audio,example sentence 1,example sentence 2,Is Krama,note
459,ngapusi,"membohongi, bohong",Kata Kerja,,,,,,
460,empuk,lembut,Kata Sifat,,,,,,
461,bendara,majikan,Kata Benda,,,,,,
462,tilas,bekas,Kata Sifat,,,,,,
463,kaca,"halaman (buku dsb.), kaca",Kata Benda,,,,,,
464,jagad,dunia,Kata Benda,,,,,,
465,angger-angger,peraturan,Kata Benda,,,,,,
466,atur,"memberi ''[eg. [[atur pambagya, Panggil, Undangan",,,,,,Krama,
467,adhem,dingin,Kata Sifat,,,,,,
468,dasa,puluh,Kata Bilangan,,,,,,
469,jan,sungguh-sungguh,Kata Seru,,,,,,
470,adol,jual,Kata Keadaan,,,,,,
471,ngaso,istirahat,Kata Kerja,,,,,,
472,lemu,gemuk,,,,,,,
473,wadi,rahasia,Kata Benda,,,,,,
474,rah,darah,Kata Benda,,,,,,
475,kadang,saudara,,,,,,,
476,keri,ketinggalan,,,,,,,
477,uyah,garam,Kata Benda,,,,,,
478,jenang,bubur halus,Kata Benda,,,,,,
479,balé,"ruang tamu, balai",,,,,,,
480,rega,Harga,,,,,,,
481,kesel,capek,,,,,,,
482,dadakan,pemicu timbulnya permasalahan,Kata Benda,,,,,,
483,atus,tidak lagi mengandung air,Kata Sifat,,,,,,
484,lemes,lemas,,,,,,,
485,édan,gila,Kata Sifat,,,,,,
486,wegah,enggan; malas/kurang semangat,Kata Sifat,,,,,,
487,bedhil,senapan; [[mbedhil,,,,,,,
488,dwi,dua,Kata Bilangan,,,,,,
489,dipun-,di- (awalan),,,,,,Krama,
490,temah,manjadi,Kata Kerja,,,,,,
491,konangan,ketahuan,,,,,,,
492,akon,suruh,Kata Kerja,,,,,,
493,nganggep,menganggap,Kata Kerja,,,,,,
494,darbé,"milik, mempunyai",,,,,,,
495,batur,"teman, pembantu",,,,,,,
496,wedhi,pasir,Kata Benda,,,,,,
497,sedheng,cukup,,,,,,,
498,landhep,tajam,,,,,,,
499,patrap,sikap,Kata Benda,,,,,,
500,gangsal,lima,Kata Bilangan,,,,,,
501,wusana,"akhir, kemudian",Kata Benda,,,,,,
502,wuri,belakang,Kata Keadaan,,,,,,
503,galih,merasakan dalam hati,Kata Kerja,,,,,,
504,raos,rasa,,,,,,Krama,
505,asta,tangan,Kata Benda,,,,,Krama,
506,alangan,halangan,Kata Benda,,,,,,
507,wutuh,utuh,Kata Sifat,,,,,,
508,dluwang,kertas,Kata Benda,,,,,,
509,warta,berita,Kata Benda,,,,,,
510,impèn,mimpi; impian,,,,,,,
511,bawa,pembukaan gending,Kata Benda,,,,,,
512,awang-awang,langit bebas,Kata Benda,,,,,,
513,kondhang,terkenal/termashur/ternama,,,,,,,
514,dodolan,berjualan,Kata Kerja,,,,,,
515,cacah,jumlah,Kata Benda,,,,,,
516,wolu,delapan,Kata Benda,,,,,,
517,ngarsa,depan,Kata Keadaan,,,,,Krama,
518,wenang,"berwenang, berhak",Kata Sifat,,,,,,
519,besar,"nama bulan dalam kalender jawa, Zulhijah",Kata Benda,,,,,,
520,kangèlan,kesulitan,,,,,,,
521,kethèk,monyet,Kata Benda,,,,,,
522,éwa,kecewa,,,,,,,
523,gandheng,gandeng,Kata Sifat,,,,,,
524,wewengkon,"daerah kekuasaan, wilayah",Kata Benda,,,,,,
525,gèdhèg,menggelengkan kepala tanda tidak menyetujui/tidak mau/menolak,,,,,,,
526,kabul,terkabul/terwujud,,,,,,,
527,kadohan,kejauhan,,,,,,,
528,amargi,karena,Kata Sambung,,,,,,
529,biyung,ibu,Kata Keadaan,,,,,,
530,simbah,"kakek/nenek, orang tua dari ibu-bapak",,,,,,,
